id,person,context,cause,cause_time,effect,effect_time
18,Elon Musk,Tesla investor day 2023,Revealed $5B battery plant plan,01-Mar-23,Tesla stock rose 12%,Next trading day
19,Greta Thunberg,UN Climate Action Summit speech,How dare you? emotional appeal,23-Sep-19,Global climate protests doubled,19-Oct
20,Vladimir Putin,2022 Ukraine invasion,Military mobilization order,24-Feb-22,Global oil prices surged 30%,22-Mar
21,Mark Zuckerberg,Meta rebranding announcement,Pivot to metaverse development,28-Oct-21,Company lost $200B market value,6 months later
22,Kim Jong Un,Missile test over Japan,Ballistic missile launch,04-Oct-22,UN imposed new sanctions,15-Oct-22
23,Donald Trump,Announcing withdrawal from Paris Climate Agreement,Disagreement with the accord’s terms,01-Jun-17,Global backlash from other nations,17-Jun
24,Donald Trump,2020 COVID-19 pandemic response,Downplaying the virus as it spread,20-Feb,Massive nationwide case spikes and deaths,March-April 2020
25,Donald Trump,North Korea summit,Meeting with Kim Jong Un to discuss denuclearization,12-Jun-18,Temporary easing of tensions,18-Jul
26,Joe Biden,Afghanistan withdrawal,Decision to pull troops after 20 years,14-Apr-21,"Rapid Taliban takeover, chaotic evacuation",21-Aug
27,Joe Biden,COVID-19 vaccination campaign,Rolling out nationwide vaccination initiative,20-Dec-20,Over 70% of US adults vaccinated by mid-2021,Mid-2021
28,Joe Biden,US infrastructure plan,Proposing $1.9 trillion spending package,28-Mar-21,"Reconstruction of roads, bridges, and highways",2022
29,Elon Musk,Tesla vehicle production,Announcement of Cybertruck prototype,21-Nov-19,Spike in Tesla stock price and pre-orders,19-Dec
30,Elon Musk,Tesla Model 3 launch,Revolutionizing electric vehicles with mass production,07-Jul-17,Tesla’s first profitable quarter,Q3 2020
31,Greta Thunberg,School strike for climate,Started protesting outside Swedish parliament,20-Aug-18,Global Fridays for Future movement,2019
32,Greta Thunberg,Speech at COP25,Criticizing world leaders for insufficient action,11-Dec-19,Increased youth climate activism worldwide,2020
33,Vladimir Putin,2014 Crimea annexation,Military intervention in Crimea,27-Feb-14,International sanctions imposed on Russia,14-Mar
34,Vladimir Putin,2020 Russia constitutional amendment,Changing constitution to allow extended presidency,01-Jul-20,Putin can remain in power until 2036,20-Jul
35,Mark Zuckerberg,Cambridge Analytica scandal,Facebook data misuse for political ads,18-Mar,Facebook’s reputation and stock plummeted,18-Apr
36,Mark Zuckerberg,Facebook’s Libra project,Launching cryptocurrency for global transactions,18-Jun-19,Criticism from regulators and global concerns,Late 2019
37,Kim Jong Un,Intercontinental ballistic missile test,Test firing of ICBMs with nuclear warhead capability,28-Nov-17,Increased tensions with US and South Korea,17-Dec
38,Kim Jong Un,Inter-Korean summit,Announcing peace talks with South Korea,27-Apr-18,Reduction in military tensions between North and South,2018-2019
39,Barack Obama,Announcing death of Osama bin Laden,Operation Neptune Spear successful,02-May-11,Heightened US global security measures,11-May
40,Angela Merkel,Refugee crisis response,Opening Germany’s borders to refugees,04-Sep-15,Europe faced significant refugee influx,2016
41,Xi Jinping,Belt and Road Initiative,Pledged $1 trillion in global infrastructure projects,07-Sep-13,Increased Chinese influence in developing countries,2018
42,Narendra Modi,Demonetization in India,Removed high-value currency notes from circulation,08-Nov-16,"Short-term economic disruptions, long-term digitization growth",2017
43,Jack Ma,Alibaba IPO,Alibaba raised $25 billion in US public offering,19-Sep-14,Alibaba became one of the largest e-commerce companies,2015
44,Bill Gates,Philanthropy through Gates Foundation,Donated billions for global health initiatives,2000-Present,Significant improvements in global health outcomes,2010s
45,Boris Johnson,Brexit Referendum,UK voted to leave the European Union,23-Jun-16,Political and economic uncertainty in UK and EU,Post-2016
46,Justin Trudeau,Legalizing marijuana in Canada,Passed Bill C-45 in 2018,17-Oct-18,Legal cannabis market growth,2019-2020
47,Oprah Winfrey,Launching OWN network,Started the Oprah Winfrey Network in 2011,01-Jan-11,Successfully expanded her media empire,2011-2013
48,Sandra Oh,Grey’s Anatomy success,Played Dr. Cristina Yang in Grey’s Anatomy,2005-2014,Significant rise in Asian-American representation in TV,2000s-2010s
49,Taylor Swift,Spotify controversy,Accused Spotify of unfair artist compensation,2014-2015,Spotify altered compensation policies for artists,2015
50,Tom Hanks,World War II-themed films,Starring in movies like Saving Private Ryan,1998-Present,Revived interest in WWII film genre,1990s-2000s
51,Leonardo DiCaprio,Environmental advocacy,Founded Leonardo DiCaprio Foundation,1998-Present,Significant donations to environmental causes,2000s-Present
52,Kim Kardashian,Releasing mobile game “Kim Kardashian: Hollywood”,Launched in 2014,19-Aug-14,Mobile game revenue exceeded $200 million,2015-2016
53,Sheryl Sandberg,Launching Lean In,"Published the book ""Lean In""",11-Mar-13,Started global conversation on women’s leadership,2013-2014
54,Mark Zuckerberg,Facebook’s acquisition of Instagram,Purchased Instagram for $1 billion,09-Apr-12,Instagram became a leading social media platform,2013-2014
55,Steve Jobs,Releasing the first iPhone,Revolutionized mobile technology,29-Jun-07,Apple became a market leader in smartphones,2007-2008
56,Elon Musk,SpaceX Falcon Heavy launch,Successfully launched Falcon Heavy,06-Feb-18,SpaceX gained prominence in the aerospace industry,2018
57,Elon Musk,Announcing Tesla Model Y,Introduced new electric SUV model,14-Mar-19,Increase in Tesla's stock value,2019
58,Donald Trump,Border wall proposal,Announced border wall construction initiative,25-Jan-17,Political divide in US over immigration policies,2017-2018
59,Donald Trump,Tariffs on steel and aluminum,Announced tariffs on imports,01-Mar-18,International trade tensions escalated,2018-2019
60,Joe Biden,Executive orders on climate change,Rejoining the Paris Agreement,20-Jan-21,Restored US commitment to global climate goals,2021
61,Joe Biden,American Rescue Plan,COVID-19 economic stimulus package,11-Mar-21,Provided $1.9 trillion in relief to the economy,2021
62,Elon Musk,Tesla Solar Roof launch,Announced new solar product,30-Oct-16,Increased interest in renewable energy products,2016-2017
63,Vladimir Putin,Annexing Crimea,Military occupation and annexation of Crimea,18-Mar-14,International sanctions and diplomatic isolation,2014
64,Joe Biden,US exit from Afghanistan,Withdrawal of US troops from Afghanistan,31-Aug-21,Taliban took control of Afghanistan,21-Aug
65,Elon Musk,Launch of SpaceX Starship,Announced plans for Mars exploration,2020-Present,Increased interest in space exploration,2020
66,Ted Cruz,Running for US President,Announced 2016 presidential campaign,23-Mar-15,High-profile candidacy within Republican Party,2015-2016
67,Michelle Obama,Becoming a Best-Selling Author,"Released memoir ""Becoming""",13-Nov-18,Book became a global bestseller,2018-2019
68,Bill Gates,Donation of $2 billion to vaccine development,Through the Gates Foundation,04-May-20,Significant global support for COVID-19 vaccine,2020-2021
69,Mark Zuckerberg,Launch of Facebook Messenger,Separation of messaging platform from main app,09-Apr-14,Increase in Facebook Messenger's global users,2014-2015
70,Bill Gates,Philanthropy with Melinda Gates,Donated billions through the Gates Foundation,2000-Present,Advancements in global health and education,2000-2020
71,Jack Ma,Alibaba Singles’ Day Sales,Alibaba’s record-setting online sales event,11-Nov-18,Single day sales surpassed $30 billion,2018
72,Taylor Swift,"Release of ""1989"" album",Introduced a new pop sound,27-Oct-14,Album became one of the best-selling albums of the decade,2014-2015
73,Oprah Winfrey,Launch of OWN Network,Introduced own network after departure from talk show,01-Jan-11,Expansion into a media mogul role,2011-2012
74,Justin Bieber,"Release of ""Baby"" single",Launched his career globally,19-Jan-10,Single became one of the most viewed on YouTube,2010-2011
75,Bill Gates,Releasing “The Road Ahead” book,Authored personal insights on technology and future,01-Nov-95,Book became a top seller,1995-1996
76,Barack Obama,Affordable Care Act,Passed healthcare reform legislation,23-Mar-10,Reduced uninsured rates in the US,2010s
77,Donald Trump,Paris Climate Agreement Withdrawal,Announced withdrawal from climate accord,01-Jun-17,US faced international criticism for climate stance,2017
78,Kim Kardashian,Launch of KKW Beauty,Launched her beauty line in 2017,23-Jun-17,Revenue exceeded $100 million within first year,2017-2018
79,Joe Biden,Support for same-sex marriage,Advocated for marriage equality publicly,06-May-12,Significant progress toward marriage equality,2013-2015
80,Elon Musk,Launching Tesla Semi Truck,Announced electric semi truck production,16-Nov-17,Transportation industry began exploring electric trucks,2017-2018
81,George W. Bush,Operation Iraqi Freedom,Launched invasion of Iraq,20-Mar-03,Prolonged conflict and destabilization in the region,2003-2011
82,Angela Merkel,European migrant crisis response,Proposed policy to accept refugees,01-Sep-15,Germany became a primary destination for refugees,2015-2016
83,Barack Obama,Re-election campaign,Successfully won second presidential term,06-Nov-12,Obama’s second term solidified his legacy,2012-2016
84,Oprah Winfrey,“Rags to Riches” story,Shared her personal history of overcoming hardship,1986,Empowered people through self-development advice,1980s-1990s
85,Jeff Bezos,Launching Amazon Web Services,Created cloud computing platform in 2006,14-Mar-06,Revolutionized the cloud computing industry,2006-2007
86,Sheryl Sandberg,Lean In Movement,Started global conversation on women in leadership,2013,Women gained more visibility in business leadership roles,2013-2016
87,Elon Musk,PayPal acquisition,Paypal acquired by eBay in 2002,13-Jul-02,Musk earned millions from the sale,2002-2003
88,Mark Zuckerberg,Introducing Facebook Marketplace,Launched online marketplace for users,03-Oct-16,Expanded Facebook’s user engagement through commerce,2016-2017
89,Barack Obama,ObamaCare Implementation,Launched Affordable Care Act’s provisions,23-Mar-10,Reduced uninsured rates across US,2010-2012
90,Sheryl Sandberg,Becoming COO of Facebook,Jointed Facebook as Chief Operating Officer,2008,Furthered Facebook’s advertising success,2008-2015
91,Oprah Winfrey,Releasing the Oprah Magazine,Started a lifestyle magazine for women,10-Feb-00,Became a prominent voice in lifestyle and self-help,2000-2005
92,Kim Jong Un,Announcing economic reforms,Proposed some market-driven reforms in North Korea,2019,North Korea faced gradual shifts in its economy,2019-2020
93,Jeff Bezos,Amazon Prime Launch,Introduced subscription service for fast shipping,02-Feb-05,Prime membership expanded globally,2005-2010
94,Elon Musk,Releasing the Tesla Roadster,Launched first fully electric sports car,17-Dec-08,Established Tesla’s position in the electric vehicle market,2008-2010
95,Barack Obama,Ordering the killing of Osama bin Laden,Decided on the raid that killed the terrorist leader,02-May-11,Enhanced US national security profile,2011
96,Donald Trump,US-North Korea summit,Meeting with Kim Jong Un in Singapore,12-Jun-18,First step in de-escalating tensions with North Korea,2018
97,Angela Merkel,Eurozone Crisis Response,Managed Germany’s role in EU financial crisis,2011-2013,Germany played key role in stabilizing EU economy,2011-2014
98,Mark Zuckerberg,Acquisition of WhatsApp,Facebook bought messaging app for $19 billion,19-Feb-14,WhatsApp became a major global messaging platform,2014-2015
99,Xi Jinping,Chinese Belt and Road Initiative,Pledged billions for global infrastructure projects,07-Sep-13,Strengthened China’s influence in developing countries,2013-2015
100,Bill Gates,Launching Windows XP,Released one of the most popular operating systems,25-Oct-01,Windows XP became one of the most widely used OS,2001-2005
101,Taylor Swift,Winning Grammy for Album of the Year,"Received Grammy for ""Fearless""",31-Jan-10,Launched her career as a major country-pop star,2010
102,Oprah Winfrey,Launch of Oprah's Book Club,Introduced influential book recommendation club,1996,Generated millions in book sales,1996-2000
103,Donald Trump,Trump Tower opening,Opened his iconic skyscraper in NYC,1983,Trump became a prominent public figure,1980s
104,Steve Jobs,Launching Apple Macintosh,Released the first Macintosh computer,24-Jan-84,Introduced personal computers to the mass market,1984
105,Elon Musk,Founding SpaceX,Started aerospace company with Mars colonization goals,14-Mar-02,Revolutionized private space industry,2000s
106,Sheryl Sandberg,Launching the Lean In Foundation,Created a foundation focused on empowering women,2013,Created a global network of Lean In Circles,2013-2015
107,Mark Zuckerberg,Introducing Facebook Ads,Monetized the social platform,2007,Ads became Facebook's primary revenue source,2007-2010
108,Kim Kardashian,Launch of KKW Fragrance,Introduced a line of fragrances,2017,Fragrance line became highly successful,2017-2018
109,Barack Obama,Signing Dodd-Frank Act,Enacted financial reform law,21-Jul-10,Reformed Wall Street and financial industry,2010-2011
110,Elon Musk,Launching Neuralink,Started company focused on brain-computer interfaces,07-Jul-16,Explored future potential of mind-machine interaction,2016-2020
111,Bill Gates,Investing in clean energy,Backed renewable energy startups,2000s,Contributed to the rise of clean tech,2000s-2010s
112,Justin Bieber,Winning Teen Choice Award,Received multiple awards as a teen star,10-Aug-10,Consolidated his fame in pop music,2010-2012
